HLE,HLN,HLZ
-0.136694,-0.0348,0.436604
-0.038487,-0.020505,0.489893
0.059763,0.010418,0.477688
0.13865,0.057783,0.406704
0.186232,0.113224,0.29704
0.202153,0.161366,0.17054
0.195861,0.185529,0.040968
0.180134,0.17529,-0.087316
0.162861,0.132035,-0.209587
0.142552,0.068881,-0.311334
0.111595,-0.052988,-0.370918
0.062749,-0.095183,-0.371897
-0.090666,-0.125813,-0.317161
-0.17896,-0.147931,-0.233477
-0.25478,-0.161175,-0.158334
-0.301225,-0.162641,-0.119158
-0.306692,-0.150231,-0.118098
-0.270551,-0.124892,-0.129877
-0.204397,-0.090418,-0.11637
-0.125768,-0.050997,-0.048756
-0.049569,0.034105,0.074414
0.016747,0.077012,0.223189
0.073217,0.116297,0.352084
0.123423,0.147073,0.423202
0.169907,0.164538,0.422133
0.211716,0.165617,0.360707
0.244208,0.149309,0.265312
0.260785,0.116456,0.161079
0.255954,0.069873,0.061932
0.22885,0.014657,-0.031277
0.184781,-0.041973,-0.124756
0.132971,-0.091794,-0.221897
0.083046,-0.127715,-0.31452
0.04287,-0.145596,-0.381638
0.017369,-0.144443,-0.399858
-0.048697,-0.125441,-0.357169
-0.115534,-0.09081,-0.26053
-0.198754,-0.043662,-0.134587
-0.28218,0.010552,-0.01172
-0.349218,0.062505,0.080214
-0.387509,0.099529,0.126426
-0.390096,0.109404,0.128454
-0.354542,0.087215,0.101475
-0.281977,0.040774,0.067232
-0.177255,-0.01044,0.044827
-0.050225,-0.042931,0.04477
0.083966,-0.041067,0.069881
0.207612,0.049428,0.117584
0.305155,0.103405,0.178767
0.367563,0.140973,0.236855
0.393351,0.155945,0.272193
0.384801,0.148665,0.27014
0.344378,0.120738,0.228384
0.27586,0.073007,0.157527
0.18737,-0.072508,0.07208
0.091869,-0.155083,-0.018336
-0.067702,-0.226791,-0.108419
-0.121393,-0.273627,-0.191878
-0.161203,-0.286188,-0.258746
-0.189926,-0.263494,-0.297566
-0.207159,-0.214198,-0.301527
-0.21078,-0.153926,-0.272933
-0.199899,-0.098216,-0.221402
-0.176113,-0.054816,-0.158912
-0.141497,-0.020055,-0.095928
-0.096719,0.018231,-0.039999
-0.042477,0.070772,0.031501
0.01782,0.136713,0.044623
0.077376,0.201001,0.050798
0.128031,0.241444,0.065221
0.164169,0.243661,0.1048
0.185107,0.212273,0.175722
0.193313,0.167566,0.262931
0.190957,0.131801,0.331419
0.178245,0.113929,0.33965
0.15489,0.103716,0.260944
0.124,0.082155,0.099657
0.09357,0.037324,-0.109746
0.07153,-0.027017,-0.316463
0.05795,-0.093111,-0.472371
0.040559,-0.139885,-0.54699
-0.082493,-0.154185,-0.531504
0.010465,-0.010986,0.01188
0.010994,-0.011678,0.012854
0.011059,-0.011506,0.012452
0.010447,-0.010225,0.010957
-0.01118,0.010588,-0.011046
-0.010871,0.012142,-0.011623
0.010204,0.013261,-0.010524
0.013506,0.014007,0.011892
0.015848,0.014315,0.017341
0.016534,0.013968,0.023523
0.015387,0.012683,0.028537
0.012727,0.010191,0.030212
0.012392,-0.013319,0.027354
0.013577,-0.020316,0.020679
0.013493,-0.025715,0.012737
0.012727,-0.028838,-0.012618
0.011865,-0.029584,-0.015418
0.011099,-0.028191,-0.015172
0.010122,-0.024919,-0.012445
-0.016743,-0.019959,0.01118
-0.027019,-0.013674,0.012448
-0.036827,0.010745,0.013056
-0.044348,0.014347,0.013245
-0.048196,0.015804,0.013401
-0.048034,0.013715,0.013928
